"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"MenPage","","","5","0","14","30","0"
"Test Header","","","7","8","37","1","0"
"Test Footer","","","1","1","45","65","0"
"Forgot Your Password Page","","","0","0","9","11","0"
"","","","3","0","6","0","0"
"","Shopping Cart is full","","1","2","16","0","0"
"WomenPage","","","0","0","6","0","0"
"Sale Page","Testing Side Menu Bar - Men's Deals Section","","3","0","7","1","0"
"Sign In Page","Registered Customers","","0","0","18","0","0"
"Forgot Your Password Functionality","","","0","0","1","3","0"
"Sale Page","Testing Side Menu Bar - Women's Deals Section","","1","0","12","0","0"
"","Failed Login Functionality","","0","1","14","0","0"
"Main Page","Promo Block Testing","","0","54","9","0","0"
"","New Customers","","1","0","4","0","0"
"Main Page","Testing Hot Seller Section","","0","0","13","4","0"
"Review Page","","","0","0","5","0","0"
"Sale Page","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","","2","0","13","0","0"
"Create An Account","","","0","0","28","2","0"
"Sale Page","Testing Side Menu Bar - Gear Deals Section","","1","0","4","0","0"
"","Login Functionality","","0","2","3","0","0"
"Training Page","Testing Training Page Sidebar","","0","0","8","7","0"
"Shopping Cart","Shopping Cart is empty","","1","0","2","0","0"
"Test Training Video","","","0","0","6","0","0"
"Orders and Returns","","","0","0","3","0","0"
